"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method","estimand","context"
-0.00748299088800479,0.00749965930292413,-0.0221820530180568,0.00721607124204727,"egoX_gender_m_fd","model_1","Summary",0.318387290247524,0.000447792105089146,0.012953197542578,17,"REML","accumulated","creation"
-0.0152024387364341,0.00707140692987608,-0.0290621416390182,-0.00134273583385003,"egoX_gender_m_fd","model_2","Summary",0.0315673665019405,3.72709311700178e-05,0.307259253554654,17,"REML","accumulated","creation"
-0.0080145763908573,0.0073770046401351,-0.022473239799307,0.00644408701759237,"egoX_gender_m_fd","model_3","Summary",0.277290159246278,0.000186039978990462,0.197569962022488,17,"REML","accumulated","creation"
-0.00882875785354058,0.00794910277371854,-0.0244087129994364,0.0067511972923552,"egoX_gender_m_fd","model_4","Summary",0.266714326822893,0.000470715285155643,0.0234490172883809,17,"REML","accumulated","creation"
-0.00931590990456483,0.00648942889307447,-0.0220349568152244,0.00340313700609475,"egoX_gender_m_fd","model_5","Summary",0.151129980980241,0.000202149779247513,0.104496303603152,17,"REML","accumulated","creation"
0.0011488235831771,0.0139637257489755,-0.0262195759748096,0.0285172231411638,"altX_gender_m_fd","model_1","Summary",0.934430423193331,0.00242461080815911,3.05015671238079e-08,17,"REML","accumulated","creation"
0.00177937977396212,0.011478399691169,-0.0207178702208847,0.0242766297688089,"altX_gender_m_fd","model_2","Summary",0.876805670113008,0.00123236661521779,0.000559806452969228,17,"REML","accumulated","creation"
0.00356063940546731,0.0114802211779263,-0.0189401806378222,0.0260614594487568,"altX_gender_m_fd","model_3","Summary",0.756443658257826,0.00131875784250303,0.000114486434268323,17,"REML","accumulated","creation"
0.00547060520077635,0.0136758371362609,-0.0213335430447303,0.032274753446283,"altX_gender_m_fd","model_4","Summary",0.689141956783514,0.0022582176957114,1.44592665690211e-07,17,"REML","accumulated","creation"
0.00212712119173075,0.0114056554008369,-0.0202275526139844,0.0244817949974459,"altX_gender_m_fd","model_5","Summary",0.8520549847381,0.0013574571072949,9.15365415796657e-05,17,"REML","accumulated","creation"
0.239478592256206,0.0277465803457703,0.185096294084349,0.293860890428063,"egoXaltX_gender_m_sd","model_1","Summary",6.08589647265202e-18,0.0103505424662152,1.2941564245157e-10,17,"REML","accumulated","creation"
0.123803168546215,0.0229704632709814,0.0787818878268911,0.168824449265539,"egoXaltX_gender_m_sd","model_2","Summary",7.05880045855588e-08,0.00418848974603621,0.012057417589794,17,"REML","accumulated","creation"
