"effect","model","estimand","est_cr","se_cr","est_mt","se_mt","diff","diff_se"
"recip_fd","model_2","accumulated",0.243576160122261,0.0354658309680601,0.87410754692434,0.0933970355923406,-0.630531386802078,0.0999041111450973
"recip_fd","model_2","dynamic",0.0382420950009987,0.00546939129469219,0.16337998232154,0.0156474287083148,-0.125137887320541,0.0165757734756556
"recip_fd","model_2","static",0.0465576143995908,0.0061058186269717,0.141578055135831,0.0133911043033508,-0.0950204407362406,0.0147174282933091
"recip_fd","model_3","accumulated",0.174378650418032,0.0201305360633569,0.673390692690328,0.0796112264750991,-0.499012042272296,0.0821169036378481
"recip_fd","model_3","dynamic",0.0284745108987383,0.00333283327049175,0.120208690149731,0.0145352276897514,-0.091734179250993,0.0149124317802904
"recip_fd","model_3","static",0.0307923620148375,0.00332964551011122,0.11543502879356,0.0135117586125257,-0.0846426667787223,0.0139159678077439
"recip_fd","model_4","accumulated",0.182886483383897,0.0217720914493764,0.609966750191972,0.0755265259368242,-0.427080266808075,0.0786020361451648
"recip_fd","model_4","dynamic",0.0335622046498042,0.00405940624769306,0.115279097717701,0.0146498015548444,-0.0817168930678968,0.0152018243865705
"recip_fd","model_4","static",0.0360381032839991,0.00400777759222833,0.10905082621666,0.0129944759935188,-0.0730127229326605,0.0135984810760211
"transTrip1_fd","model_0","accumulated",0.0915482703415892,0.00932554772489849,0.243153553006826,0.0186745259582263,-0.151605282665236,0.0208735181542027
"transTrip1_fd","model_0","dynamic",0.0157119083556954,0.00123441367092532,0.045518212404917,0.00316281802824929,-0.0298063040492215,0.00339517230649433
"transTrip1_fd","model_0","static",0.0152702996879702,0.00121852064106249,0.0431119794560739,0.00391375296373435,-0.0278416797681037,0.00409905535627841
"transTrip1_fd","model_2","accumulated",0.0875864360879773,0.00800017123491913,0.219360142100826,0.0185553619190335,-0.131773706012849,0.0202065384401769
"transTrip1_fd","model_2","dynamic",0.0140413646088721,0.00128059536643864,0.0397111500492424,0.00345553807348219,-0.0256697854403703,0.00368519577089591
"transTrip1_fd","model_2","static",0.0139074047673408,0.00116541837530729,0.0390111998208317,0.00315718974163463,-0.0251037950534909,0.00336541929842134
"transTrip1_fd","model_3","accumulated",0.0717248385947261,0.00670322778154807,0.239481323203516,0.0159090209661495,-0.167756484608789,0.0172635515115721
"transTrip1_fd","model_3","dynamic",0.0118838051573469,0.00103543504819479,0.0438027776392281,0.00313477759729054,-0.0319189724818813,0.0033013567398124
"transTrip1_fd","model_3","static",0.0126791753494353,0.00102117686598426,0.0394616087026514,0.00264136531356925,-0.0267824333532161,0.00283189210799921
"X_primary","model_1","accumulated",0.104459272482633,0.0194810063400549,0.34637681700815,0.0467295941853495,-0.241917544525517,0.0506277056634874
"X_primary","model_1","dynamic",0.0210038168062499,0.00373864369636627,0.0732191092041982,0.00967604600935884,-0.0522152923979483,0.0103732021605485
"X_primary","model_1","static",0.0225941491413599,0.00396212721264166,0.069486258218855,0.00891613732313868,-0.046892109077495,0.00975684153884966
